Username,Chapter.ID,factId,exam.Q,multiple_choice,reps.study,PC.study,final.alpha,studied,correct.exam
anon-001,_41_1,_1181_1,Q1,TRUE,2,1,0.3,Studied,TRUE
anon-001,_42_1,_1196_1,Q1,FALSE,4,1,0.20078125,Studied,TRUE
anon-001,_47_1,_1311_1,Q1,FALSE,7,0.8571428571428571,0.10195312499999998,Studied,TRUE
anon-001,_34_1,_1036_1,Q1,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_35_1,_1051_1,Q1,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_55_1,_1529_1,Q11,FALSE,7,0.8571428571428571,0.15429687499999997,Studied,TRUE
anon-001,_53_1,_1469_1,Q11,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_56_1,_1559_1,Q11,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_54_1,_1499_1,Q11,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_57_1,_1570_1,Q13,FALSE,18,0.7777777777777778,0.20625000000000002,Studied,TRUE
anon-001,_67_1,_1786_1,Q13,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_58_1,_1583_1,Q13,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_68_1,_1799_1,Q13,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_59_1,_1597_1,Q16,FALSE,7,0.8571428571428571,0.10273437499999996,Studied,TRUE
anon-001,_70_1,_1828_1,Q16,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_60_1,_1612_1,Q16,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_71_1,_1843_1,Q16,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_61_1,_1638_1,Q19,FALSE,7,0.8571428571428571,0.15429687499999997,Studied,TRUE
anon-001,_72_1,_1869_1,Q19,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_62_1,_1668_1,Q19,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_73_1,_1899_1,Q19,TRUE,NA,NA,NA,Not studied,TRUE
